tipo,name,description,city,address,lat,long,horario,phone,email,website,wifi,mesasdisponibles,tamanoaprox,desuso
CasaCultural,Casa Batsú,Cooperativa de Profesionales,San José,Barrio Escalante,9.93577,-84.06193,,,,,NA,NA,NA,NA
CasaCultural,Árbol de Cas - multiespacio cultural,Multiespacio de encuentro e intercambio cultural,San José,"400m al sur del Colegio de Cedros, Casa con portones café y espacio de parqueo afuera, 8310-1000 San Pedro De Montes De Oca, San Jose, Costa Rica",9.939836,-84.024766,lun-sam: 07:00 - 21:30,506 8831 0974,arboldecascultural@gmail.com,http://www.impactico.org/,NA,NA,NA,NA
FabLab,CINNOS,Centro de Investigación para la Innovación - Universidad Veritas,San José,"Avenida 20, calle 31. 1Km al oeste de la Casa Presidencial. Zapote, 1380-1000 San José (Costa Rica)",,,"lun-ven:        
08:00 - 17:00
",506 2246 4661,,http://www.veritas.cr/escuelas/cinno,NA,NA,NA,NA
CasaCultural,Centro Multicultural Botica Solera,https://www.msj.go.cr/informacion_ciudadana/cultura/SiteAssets/fichas_cultura/Ficha%20Centro%20Multicultural%20Botica%20Solera.pdf,San José,Distrito Merced,9.94021,-84.08278,,,,,NA,NA,NA,NA
FabLab,Inventoría San pedro,"La Inventoría es un “centro” de integración que integra: ciudadanía, emprendimiento, diseño, ciencia y tecnología. ",San José,"De la Rotonda de la Hispanidad, 100 al este, y 50m al Norte, coordenadas 9.9335131,-84.0540415, San Jose",9.9335,-84.05406,,,info@funcostarica.org,http://inventoria.org,NA,NA,NA,NA
CoworkingSpace,Impactico,,San José,"Los Yoses, 300 sur Arenas, 250 oeste",9.92801,-84.06168,,,,,NA,NA,NA,NA
CoworkingSpace,Creasala Coworking Café,"Buen Internet, excelente café y comida deliciosa... ¿qué más necesitas?

Espacios de trabajo común, salón de eventos, oficinas y café",San José,"175 este de la rotonda El Farolito. Casa 3361 a mano izquierd. Avenida 13.
Barrio Escalante, San Jose, Costa Rica",9.93748,-84.06238,,2234 9064,"creasala@gmail.com
http://www.creasala.com/",,NA,NA,NA,NA
CoworkingSpace,Cowork.cr,Coworking space,San José,"Oficentro La Sabana
Torre 6 - Piso 7 - Oficina 26
Sabana Sur
San José, Costa Rica",9.93126,-84.10244,,50622912651,info@cowork.cr,,NA,NA,NA,NA
CoworkingSpace,Colabora,"Somos un espacio de “coworking” con todas las comodidades, mobiliario apropiado y lo mejor en tecnología, para los profesionales independientes.",San José,,9.93274,-84.06071,,4001-4662,info@colaboracr.com,,NA,NA,NA,NA
FabLab,Kä Träre – Espacio para crear,innovaciones de bajo costo y alto impacto,San José,UNED,9.93399,-84.06216,,,,http://investiga.uned.ac.cr/redinvestigacion/proyectos/laboratorio-de-fabricacion-fablab/,NA,NA,NA,NA
CasaCultural,Do Sul Workshop,"""Somos un rincón creativo ""del Sur"" joven y lleno de energía que busca compartir el conocimiento, el diálogo y el aprendizaje multidisciplinario, por medio de cursos/talleres, charlas y centros de estudio de diferentes materias. Un espacio puesto a la disposición tanto de instructores y docentes que buscan innovar y explorar el carácter lúdico de la enseñanza, como para las personas de todas las edades, interesadas en dar rienda suelta a su creatividad, divertirse, o indagar en algún tema de interés particular dentro de un espacio relajado, acogedor y ameno para aprender. También tenemos la disponibilidad del aula para alquiler por horas o días, para charlas, centros de estudio, recuperación académica, y capacitaciones, taller/workshop de artista, cuartel para desarrollo de proyectos colectivos, entre otras.",San José,"Lomas de Ayarco Sur, del Colegio Internacional Canadiense, 100 Este, 125 Sur. Comercial Centro Ayarco
Curridabat",9.89897,-84.02069,,8596 0649,dosulworkshop@gmail.com,,NA,NA,NA,NA
CentroCreativo,Espacio Luminica,"Nos gusta decir que somos un espacio fotográfico. Buscamos a través de 
talleres y discusión profundizar en la Fotografía contemporánea y sus 
posibilidades como medio artístico y comunicativo.
",San José,"De la esquina noreste del INS, 25 norte. Casa 927, contiguo al Centro de CineSan José (Costa Rica)",9.92788,-84.07418,,8682 2076,"
luminicacr@gmail.com",,NA,NA,NA,NA
CasaCultural,La Galera,"Clases Teatro, Telas, Lira, Danza contemporánea, entrenamiento funcional.
Espacios de activismo cultural, presensentaciones artísticas y creación colectiva",Alajuela,"225 este de Colegio Patriarca San José
San Ramón (Costa Rica)",10.08787,-84.46494,,,enlagalera@gmail.com,,NA,NA,NA,NA
CasaCultural,Club House Casa de la Juventud Mora,"Casa de la Juventud Mora es un programa impulsado por la Municipalidad de Mora y el Clubhouse Network con apoyo del Comité Cantonal de la Persona Joven de Mora, ADERHAC, Unión Cantonal de Mora, Asociación Empresarial para el Desarrollo, Junta de Protección a la Niñez y la Adolescencia de Mora y La Escuela de Trabajo Social de la Universidad de Costa Rica.
Esta iniciativa intentan proveer a las y los jóvenes de alternativas seguras e innovadoras de aprendizaje y convivencia extra-escolar. 
Se trata de un espacio donde las chicas y los chicos pueden explorar sus ideas, desarrollar sus habilidades, materializar su creatividad y convivir con otros jóvenes de manera sana y constructiva, accediendo a recursos tecnológicos de avanzada y orientados por mentores expertos.
En este sentido, el programa les brinda a los jóvenes la posibilidad de explorar software y recursos profesionales en las áreas de diseño gráfico, animación digital, modelado en 3D, musicalización, programación, edición de video y robótica, además de prototipos educativos desarrollados por el MIT Media Lab , todo sin ningún costo económico.",San José,"Edificio Casa de la Juventud Mora, Av. Central, Boulevard Alcides Jimenez Rojas, Ciudad Colón, Mora.",9.91498,-84.24128,,2249 1214 ,casadejuventud@mora.go.cr,,NA,NA,NA,NA
CasaCultural,Casa del Pueblo ,"La Casa del Pueblo es un centro de desarrollo humano que ofrece a la comunidad un espacio de encuentro y formación mediante procesos educativos, culturales y de acompañamiento que propicien el crecimiento integral de la persona.",San José,"100 Metros Este del Pali de Granadilla, Curridabat.",9.93516,-84.01298,,22739360,,,NA,NA,NA,NA
CasaCultural,La Cometa,"La Cometa es un centro de desarrollo humano que ofrece a la comunidad un espacio de encuentro y formación mediante procesos educativos, culturales y de acompañamiento que propicien el crecimiento integral de la persona.
",San José,"Quince de Agosto, Tirrases, contiguo al Colegio Técnico Profesional Uladislao Gámez",9.89814,-84.02611,,2276-3008,natalia.galeano@curridabat.go.cr,,NA,NA,NA,NA
CasaCultural,Teor/ética,"TEOR/éTica se ha consolidado como uno de los proyectos culturales más dinámicos y propositivos de la región, logrando gran proyección y reconocimiento en el ámbito internacional. Es conocido como un centro de generación de pensamiento, de producción de acervo documental y como generador de muestras curadas de gran calidad.",San José,"300 mts norte del kiosco del Morazán, Calle 7, Avenida 11, Casa #953
San José (Costa Rica)",9.9382,-84.07486,,2221 6971/ 2221 1051,,,NA,NA,NA,NA
CLCafe,Café cambalache,"El Café ubicado en ""la Casa Cambalache"" les ofrece una excelente alternativa orgánica e integral de comidas de todo el mundo fusionadas con productos regionales. Nuestra oferta es; orgánica, integral, vegana - vegetariana, sin gluten, carne y pescado y una deliciosa repostería.

",San José,"Calle 3, Avenida 11, Barrio Amón, San José
San José (Costa Rica)",9.9385745,-84.0793409,,2253 2794,cambalachecostarica@gmail.com,,NA,NA,NA,NA
CasaCultural,Centro de Amigos Cuáqueros para la Paz,"Para lograr nuestras metas, nosotros realizamos talleres, mantenemos reuniones, colaboramos con las organizaciones de la comunidad, proporcionamos un espacio de reunión para grupos afines, y contamos con una biblioteca para préstamo de libros especializada en temáticas de paz, resistencia a la no-violencia y activismo.",San José,"Avenida 6 y 8, Calle 15
San José (Costa Rica)",9.93038,-84.07236,De Lunes a Viernes de 12 a 3pm y de 4 a 7pm,,"amigosparalapaz@gmail.com
http://www.amigosparalapaz.org/",,NA,NA,NA,NA
CasaCultural,OLA,,San José,Detrás Iglesia de la SOledad,9.93194,-84.0739,,,,,NA,NA,NA,NA
HostalesAbiertos,Casa Mundo,"Casa de huéspedes (estudiantes, pasantes, jóvenes viajante, jóvenes trabajando) ",San José,"Av 4, Calles 0 y 2
San Pedro, San Jose, Costa Rica",9.93086,-84.05356,,,,,NA,NA,NA,NA
HostalesAbiertos,Selina Hostels,,San José,,9.93707,-84.0723,,,,,NA,NA,NA,NA
CoworkingSpace,Casa Pejibaye,Una familia de emprendedores en un lugar icónico en el centro de San José [Coworking + Café + Tienda].,San José,Barrio Escalante,9.89814,-84.02611,,,http://www.casapejibaye.com/,,NA,NA,NA,NA
Museo,Museo Rafael Angel Calderon Guardia,,San José,"De la Iglesia Santa Teresita, 100 m este, 100 Norte, Barrio Escalante",9.93719,-84.06545,,22551218 ext 105,musecal@mcj.go.cr,,NA,NA,NA,NA
CasaCultural,Casa Canibal,"La CASA está concebida como espacio mutante totalmente diverso, un lugar de acogida de cuerpos e ideas sin formas predefinidas y otras subjetividades donde puedan generarse nuevos imaginarios y pedagogías críticas, donde desarrollar proyectos de construcción social con una dimensión transformadora, acogiendo todo aquello que desborda y excede.",San José,"Barrio Escalante, por la CCE",9.93702,-84.06417,,,,,NA,NA,NA,NA
CasaCultural,"Unity, Comunidad Consciente Urbana",Comunidad enfocada en la sostenibilidad y la espiritualidad creada para demostrar que un modo de vida más consciente es posible incluso en un ambito urbano,San José,"Barrio la granja
San Pedro De Montes De Oca, San Jose, Costa Rica",9.92972,-84.04924,,6285 7178,,,NA,NA,NA,NA
CasaCultural,Casa del Arcoiris,"Casa del Arcoiris es un espacio compartido por varios proyectos dedicados al arte, la cultura, la salud y el bienestar. 
 Mucha diversidad en una sola espacio: Cursos para todas las edades y toda la familia: danza aérea en telas, baile aeróbico, teatro para niños y para adulto mayor, yoga, gimnasia para niños, expresión corporal, hip hop y break dance.
Talleres puntuales varios.",San José,"De la rampa de visitas del Hospital Calderón Guardia, 35 metros al Oeste.",9.937544,-84.070056,,2222 4456,,,NA,NA,NA,NA
CasaCultural,Banco de Tiempo,"El Banco de Tiempo es un proyecto sin ánimo de lucro que facilita la prestación de ayuda mutua entre las participantes. Es un sistema de intercambio de servicios, actividades, favores y habilidades entre los miembro",San José,"Oficina ACI, 350 metros oeste de Taco Bell",9.93536,-84.05997,"Lunes: 10am-4pm
Martes: 10am-4pm
Miércoles: 1pm-7pm
Viernes: 10am-4pm ",,,,NA,NA,NA,NA
CoworkingSpace,Trópika Coworking,"Trópika es un espacio para impulsar y compartir nuevas ideas, oportunidades, proyectos, conocimientos y sinergias de la comunidad estudiantil ",Cartago,"Instalaciones ITCR, Cartago",9.85689,-83.91289,,,https://www.facebook.com/tropikacoworking,,,,,
CasaCultural,FECOU,Espacio autónomo estudiantil,San José,"Edificio Saprissa, UCR",9.93529,-84.05031,,,,,,,,
CasaCultural,Parque de la Libertad,,San José,,9.889948,-84.033934,Lunes a Domingo de 5:00 a.m. a 6:00 p.m.,,,,,,,
CasaCultural,La Casa Verde,,San José,,9.937665,-84.074771,,,,,,,,
CasaCultural,El Quilombo,Espacio autónomo estudiantil,Heredia,,9.998076,-84.1122107,,,,,,,,
